Vardas Pavarde ND1 ND2 ND3 ND4 ND5 Egz
Vardas0 Pavarde0 2 8 8 4 3 6
Vardas1 Pavarde1 8 9 5 4 10 6
Vardas2 Pavarde2 1 6 10 3 6 8
Vardas3 Pavarde3 4 9 10 5 8 7
Vardas4 Pavarde4 5 4 4 1 8 4
Vardas5 Pavarde5 1 7 1 8 7 3
Vardas6 Pavarde6 1 8 5 6 8 2
Vardas7 Pavarde7 5 4 3 5 3 1
Vardas8 Pavarde8 8 4 10 4 10 8
Vardas9 Pavarde9 7 3 7 5 5 2
Vardas10 Pavarde10 6 6 4 5 4 9
Vardas11 Pavarde11 2 3 8 7 4 8
Vardas12 Pavarde12 9 3 3 6 8 9
Vardas13 Pavarde13 1 10 7 6 5 6
Vardas14 Pavarde14 3 5 5 8 8 4
Vardas15 Pavarde15 9 8 3 10 1 6
Vardas16 Pavarde16 5 4 4 8 1 9
Vardas17 Pavarde17 2 4 4 3 10 7
Vardas18 Pavarde18 3 3 5 3 4 6
Vardas19 Pavarde19 1 6 9 8 1 1
Vardas20 Pavarde20 7 9 7 5 5 6
Vardas21 Pavarde21 4 9 5 4 2 10
Vardas22 Pavarde22 6 2 9 1 8 5
Vardas23 Pavarde23 3 3 7 3 3 4
Vardas24 Pavarde24 7 8 5 8 4 9
Vardas25 Pavarde25 5 1 3 1 3 2
Vardas26 Pavarde26 6 8 7 5 10 8
Vardas27 Pavarde27 1 9 5 2 9 6
Vardas28 Pavarde28 4 5 2 1 4 6
Vardas29 Pavarde29 5 6 5 3 3 7
Vardas30 Pavarde30 4 2 9 5 4 8
Vardas31 Pavarde31 6 3 6 9 2 5
Vardas32 Pavarde32 5 8 6 6 3 6
Vardas33 Pavarde33 10 1 7 9 10 4
Vardas34 Pavarde34 9 4 3 9 8 5
Vardas35 Pavarde35 1 6 1 8 10 2
Vardas36 Pavarde36 5 7 2 5 8 5
Vardas37 Pavarde37 9 9 5 2 4 7
Vardas38 Pavarde38 7 10 9 1 7 1
Vardas39 Pavarde39 7 10 3 10 3 9
Vardas40 Pavarde40 1 3 5 10 6 1
Vardas41 Pavarde41 10 5 6 10 9 2
Vardas42 Pavarde42 7 4 2 4 7 7
Vardas43 Pavarde43 4 1 3 3 8 9
Vardas44 Pavarde44 8 5 1 8 4 4
Vardas45 Pavarde45 3 1 1 2 10 10
Vardas46 Pavarde46 8 3 9 9 9 10
Vardas47 Pavarde47 6 7 10 4 9 6
Vardas48 Pavarde48 1 3 5 4 8 6
Vardas49 Pavarde49 1 8 1 9 9 8
Vardas50 Pavarde50 1 4 5 6 10 10
Vardas51 Pavarde51 7 9 4 2 2 1
Vardas52 Pavarde52 4 5 1 1 7 7
Vardas53 Pavarde53 8 3 5 7 4 3
Vardas54 Pavarde54 5 10 1 7 9 3
Vardas55 Pavarde55 1 3 6 10 8 4
Vardas56 Pavarde56 7 4 10 4 6 6
